	Date	Text	Favorite		
225	2020-11-27 15:13:32	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1016		
226	2020-11-26 22:54:08	⸜(*ˊᵕˋ* )⸝	2911		
227	2020-11-26 22:08:21	(   ¯꒳¯ )	711		
229	2020-11-26 21:59:37	(* '-' )…	696		
230	2020-11-26 08:16:31	⸜(* ॑꒳ ॑*  )⸝⋆*	2222		
230	2020-11-26 08:16:31	( ˙▿︎˙ )b	2222		
231	2020-11-25 22:39:30	( *´꒳`* )	1118		
234	2020-11-24 22:36:00	( *˙˙*)	1378		
235	2020-11-24 22:20:14	(*´―｀*)	1204		
236	2020-11-24 18:01:04	⸜(* ॑꒳ ॑*  )⸝⋆*	924		
237	2020-11-24 16:16:41	"( *´꒳`*)*"""	560		
238	2020-11-24 16:09:24	( *´꒳`* )	826		
239	2020-11-24 04:15:24	(  ˊ꒳ˋ ) ᐝ	2385		
240	2020-11-24 01:01:04	(๑⃙⃘ˊ꒳​ˋ๑⃙)	391		
243	2020-11-24 00:19:53	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	6571		
243	2020-11-24 00:19:53	(*ˊᵕˋ*)♪	6571		
244	2020-11-23 23:11:24	( •̀∀•́ )✧	1040		
245	2020-11-23 22:24:31	⸜(* ॑꒳ ॑*  )⸝⋆*	1799		
248	2020-11-23 20:31:39	"( *´꒳`*)*"""	429		
250	2020-11-23 20:18:33	( *´꒳`* )	585		
253	2020-11-23 19:09:44	(*´―｀…	586		
255	2020-11-23 18:04:28	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1710		
257	2020-11-23 00:32:33	(*´―｀*)	2495		
258	2020-11-23 00:21:33	(*ˊᵕˋ*)♪	1668		
258	2020-11-23 00:21:33	( *˙˙*)	1668		
262	2020-11-22 18:15:22	"( *´꒳`*)*"""	963		
263	2020-11-22 00:02:33	٩(๑òωó๑)۶	5933		
264	2020-11-22 00:01:55	⸜(* ॑꒳ ॑*  )⸝⋆*	671		
266	2020-11-21 23:52:15	(* '-' )	578		
269	2020-11-21 23:04:49	"( *´꒳`*)*"""	550		
270	2020-11-21 23:02:44	(；；)	4572		
270	2020-11-21 23:02:44	(๑⃙⃘ˊ꒳​ˋ๑⃙)	4572		
271	2020-11-21 23:00:17	(*¯꒳¯*)	1361		
272	2020-11-21 22:55:49	(〃´-`〃)	1667		
275	2020-11-21 22:52:26	(  •̥ ˍ •̥  )	3325		
276	2020-11-21 22:42:44	(・ー・)	2154		
278	2020-11-21 22:25:31	(⁎˃ᴗ˂⁎)	1628		
280	2020-11-21 16:42:44	"( *´꒳`*)*"""	2307		
281	2020-11-21 14:34:37	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1448		
281	2020-11-21 14:34:37	(* '-' )	1448		
282	2020-11-21 11:16:57	(*ˊᵕˋ*)♪	698		
284	2020-11-20 22:05:25	(〃´-`〃)	593		
284	2020-11-20 22:05:25	(⁎˃ᴗ˂⁎)	593		
285	2020-11-20 22:04:16	( *´꒳`* )	1207		
287	2020-11-20 21:51:54	⸜(*ˊᵕˋ* )⸝	1112		
290	2020-11-20 21:48:15	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2282		
290	2020-11-20 21:48:15	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2282		
294	2020-11-20 01:47:24	( *˙˙*)	3616		
296	2020-11-19 22:40:28	( *´꒳`* )	1308		
299	2020-11-19 20:09:59	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1728		
300	2020-11-19 20:06:18	⸜(*ˊᵕˋ* )⸝	1613		
301	2020-11-18 20:33:29	(〃´-`〃)	1118		
302	2020-11-18 18:41:45	(*ˊᵕˋ*)♪	645		
302	2020-11-18 18:41:45	"( *´꒳`*)*"""	645		
304	2020-11-18 14:55:09	( *˙˙*)	772		
305	2020-11-18 14:35:51	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2442		
305	2020-11-18 14:35:51	（♡А♡）	2442		
305	2020-11-18 14:35:51	(⁎˃ᴗ˂⁎)	2442		
306	2020-11-18 00:33:45	(*´―｀*)	2113		
308	2020-11-17 18:03:23	(〃´-`〃)	978		
309	2020-11-17 17:22:38	"( *´꒳`*)*"""	893		
309	2020-11-17 17:22:38	(￣▽￣)✧	893		
310	2020-11-16 22:47:45	(〃´-`〃)	2153		
310	2020-11-16 22:47:45	( * ॑˘ ॑*  ) ⁾⁾	2153		
311	2020-11-16 22:35:05	⸜(*ˊᵕˋ* )⸝	2689		
312	2020-11-16 18:50:02	( ˶ˆ꒳ˆ˵ )	720		
313	2020-11-16 15:20:00	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2017		
315	2020-11-16 00:10:56	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1768		
316	2020-11-15 23:42:14	( ･᷄ὢ･᷅…	743		
318	2020-11-15 11:56:03	(〃´-`〃)	647		
319	2020-11-15 11:55:24	⸜(*ˊᵕˋ* )⸝	555		
321	2020-11-15 11:16:52	⸜(* ॑꒳ ॑*  )⸝⋆*	2405		
323	2020-11-15 09:06:01	⸜(*ˊᵕˋ* )⸝	1957		
324	2020-11-14 23:17:27	"( *´꒳`*)੭"""	1078		
325	2020-11-14 23:16:19	(๑⃙⃘ˊ꒳​ˋ๑⃙)	993		
326	2020-11-14 22:31:37	( *´꒳…	1383		
327	2020-11-14 22:14:48	⸜(*ˊᵕˋ* )⸝	2108		
330	2020-11-14 08:36:55	( * ॑˘ ॑*  ) ⁾⁾	2015		
331	2020-11-13 23:01:39	(〃´-`〃)	1077		
332	2020-11-13 21:26:08	⸜(*ˊᵕˋ* )⸝	2174		
332	2020-11-13 21:26:08	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2174		
333	2020-11-13 19:14:37	(*⃙⃘´꒳`*⃙⃘)	621		
334	2020-11-13 14:45:49	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1634		
335	2020-11-13 00:25:56	(*˘︶˘*)ｽﾔｧ	1785		
338	2020-11-11 21:02:29	⸜(*ˊᵕˋ* )⸝	736		
342	2020-11-10 22:33:46	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	614		
344	2020-11-10 13:58:06	⸜(* ॑꒳ ॑*  )⸝	1475		
345	2020-11-09 22:52:52	( ´•̥  ̫ •̥` )	1489		
345	2020-11-09 22:52:52	( *´꒳`* )	1489		
346	2020-11-09 22:33:50	( *˙˙*)	1190		
347	2020-11-09 22:28:42	⸜(*ˊᵕˋ* )⸝	1985		
350	2020-11-09 17:07:24	(〃´-`〃)	964		
351	2020-11-09 15:13:40	(￣▽￣)✧	2532		
353	2020-11-09 01:14:23	( *˙˙*)	784		
354	2020-11-08 19:11:04	( *˙˙*)	715		
355	2020-11-08 19:07:49	(p`･ω･´q)	1545		
356	2020-11-08 18:57:19	(*⃙⃘´꒳`*⃙⃘)	765		
362	2020-11-08 16:45:58	(ಡωಡ)	833		
364	2020-11-08 16:41:59	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2753		
372	2020-11-08 14:40:28	( * ॑˘ ॑*  ) ⁾⁾	2327		
373	2020-11-08 13:56:59	⸜(* ॑꒳ ॑*  )⸝	1963		
374	2020-11-08 00:10:51	(*˘︶˘*)ｽﾔｧ	1910		
376	2020-11-07 23:18:33	(๓´͈꒳`͈๓) ˉ̶̡̭̭♡	1430		
377	2020-11-07 23:16:44	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1871		
378	2020-11-07 23:13:15	(；；)	3471		
378	2020-11-07 23:13:15	( *˙˙*)	3471		
382	2020-11-07 22:49:47	( ´•̥  ̫ •̥` )	2462		
383	2020-11-07 22:44:17	(；ω；)	2028		
389	2020-11-07 21:49:18	(◍˃ ᵕ ˂◍)	5205		
389	2020-11-07 21:49:18	(* 'ᵕ' )	5205		
393	2020-11-06 20:53:22	( *˙˙*)	1882		
394	2020-11-06 17:43:20	(*ˊᵕˋ*)♪	692		
395	2020-11-06 10:33:26	(*´`)♡	68		
395	2020-11-06 10:33:26	(๑⃙⃘ˊ꒳​ˋ๑⃙)	68		
397	2020-11-05 22:22:15	(*´︶`*)❤	1030		
397	2020-11-05 22:22:15	(* 'ᵕ' )	1030		
400	2020-11-04 17:18:34	( *˙˙*)	1594		
400	2020-11-04 17:18:34	(  '֊' )	1594		
401	2020-11-04 12:42:04	(*´︶`*)❤︎	3034		
401	2020-11-04 12:42:04	(ˊo̴̶̷̤⌄o̴̶̷̤ˋ)	3034		
405	2020-11-03 23:05:32	(  •̥ ˍ •̥  )	1866		
406	2020-11-02 23:52:19	( * ॑˘ ॑*  ) ⁾⁾	841		
407	2020-11-02 22:33:59	(〃´-`〃)	4310		
407	2020-11-02 22:33:59	(*´`)♡	4310		
408	2020-11-02 22:30:43	⸜(* ॑꒳ ॑*  )⸝	838		
409	2020-11-02 19:57:29	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	744		
410	2020-11-02 17:12:07	(๑⃙⃘ˊ꒳​ˋ๑⃙)	793		
411	2020-11-02 00:11:14	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	782		
411	2020-11-02 00:11:14	( * ॑˘ ॑*  ) ⁾⁾	782		
412	2020-11-02 00:09:25	(*⃙⃘´꒳…	1104		
413	2020-11-01 21:39:34	(*ˊᵕˋ*)♪	1143		
414	2020-10-31 22:56:42	(；；)	3577		
414	2020-10-31 22:56:42	( *˙˙*)	3577		
415	2020-10-31 22:44:50	(  •̥ ˍ •̥  )	2184		
416	2020-10-31 22:32:10	(⁎⁍̴̀﹃ ⁍̴́⁎)	2105		
418	2020-10-31 22:05:46	(  - ̀ω -́  )✧	2958		
420	2020-10-31 07:12:12	( ¨̮  )	1998		
421	2020-10-30 19:35:11	(◍˃ ᵕ ˂◍)	2043		
421	2020-10-30 19:35:11	(*⃙⃘´꒳`*⃙⃘)	2043		
422	2020-10-29 19:16:38	(◍˃ ᵕ ˂◍)	1094		
422	2020-10-29 19:16:38	(*ˊᵕˋ*)♪	1094		
423	2020-10-28 23:11:31	( ´-` ).｡oO	897		
425	2020-10-28 22:36:24	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	853		
425	2020-10-28 22:36:24	(*⃙⃘´꒳`*⃙⃘)	853		
426	2020-10-28 08:48:23	(*ﾟｰﾟ)	1921		
428	2020-10-28 00:04:18	⸜(*ˊᵕˋ* )⸝	1135		
429	2020-10-28 00:03:07	(*´`)♡	1738		
431	2020-10-28 00:01:02	(◍˃ ᵕ ˂◍)	2113		
434	2020-10-27 23:47:17	( *´꒳`* )	1988		
435	2020-10-27 22:17:48	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1336		
437	2020-10-27 22:12:34	(*´︶`*)❤︎	1200		
438	2020-10-27 19:53:38	(*⃙⃘´꒳`*⃙⃘)	867		
439	2020-10-27 17:44:15	(๑⃙⃘ˊ꒳​ˋ๑⃙)	831		
440	2020-10-26 22:44:33	( *˙˙*)	1137		
440	2020-10-26 22:44:33	⸜(* ॑꒳ ॑*  )⸝	1137		
441	2020-10-26 21:18:18	( *´꒳`* )	910		
441	2020-10-26 21:18:18	( * ॑˘ ॑*  ) ⁾⁾	910		
442	2020-10-26 21:15:18	(*´`)♡	1750		
443	2020-10-26 21:13:33	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2294		
444	2020-10-26 14:34:35	⸜(*ˊᵕˋ* )⸝	2788		
444	2020-10-26 14:34:35	(〃´-`〃)	2788		
445	2020-10-25 23:05:44	( ˇ ꒳ ˇ )	1985		
447	2020-10-25 23:02:42	⸜(* ॑꒳ ॑*  )⸝	900		
448	2020-10-24 23:07:37	(  •̥ ˍ •̥  )	4247		
448	2020-10-24 23:07:37	(*´`)♡	4247		
450	2020-10-24 22:22:35	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2010		
451	2020-10-24 18:23:13	⸜(* ॑꒳ ॑*  )⸝⋆*	620		
452	2020-10-24 00:25:49	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2078		
452	2020-10-24 00:25:49	( *´꒳`* )	2078		
453	2020-10-23 23:36:34	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	840		
454	2020-10-22 12:29:45	(⚭⚭)	1089		
454	2020-10-22 12:29:45	(*´―｀*)	1089		
456	2020-10-21 22:51:09	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1542		
457	2020-10-21 21:48:48	(*ˊᵕˋ*)♪	579		
457	2020-10-21 21:48:48	( * ॑˘ ॑*  ) ⁾⁾	579		
460	2020-10-21 19:41:02	(* '-' )	601		
462	2020-10-21 15:40:24	❀(*´▽`*)❀	2783		
462	2020-10-21 15:40:24	(〃♥ω…	2783		
463	2020-10-20 22:45:09	(๑⃙⃘ˊ꒳​ˋ๑⃙)	660		
464	2020-10-20 22:40:51	(*ˊᵕˋ*)♪	2870		
465	2020-10-20 19:54:16	⸜(*ˊᵕˋ* )⸝	1023		
465	2020-10-20 19:54:16	(◍˃ ᵕ ˂◍)	1023		
466	2020-10-20 18:43:55	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	997		
466	2020-10-20 18:43:55	૮₍´｡• ᵕ •｡`₎ა	997		
467	2020-10-20 08:39:03	(* '-' )	2366		
468	2020-10-19 20:32:50	(๑⃙⃘ˊ꒳​ˋ๑⃙)	661		
468	2020-10-19 20:32:50	(*´`)♡	661		
469	2020-10-19 20:30:02	(*ˊᵕˋ*)♪	728		
470	2020-10-19 18:33:56	⸜(*ˊᵕˋ* )⸝	889		
471	2020-10-19 18:24:27	( *´꒳`* )	1118		
472	2020-10-18 18:36:23	(*´︶`*)❤︎	3818		
472	2020-10-18 18:36:23	( *˙˙*)	3818		
474	2020-10-18 15:30:48	⸜(* ॑꒳ ॑*  )⸝⋆*	1853		
475	2020-10-18 00:06:09	(*ˊᵕˋ*)♪	4043		
478	2020-10-17 23:12:20	(〃♥ω♥〃)	1942		
479	2020-10-17 23:10:01	⸜(* ॑꒳ ॑*  )⸝⋆*	2370		
481	2020-10-17 22:21:35	(*´︶`*)❤︎	3404		
482	2020-10-17 20:56:02	( *´꒳`* )	2021		
483	2020-10-17 18:44:39	( *´꒳`* )	1652		
484	2020-10-17 18:15:03	(๑⃙⃘ˊ꒳​ˋ๑⃙)	523		
484	2020-10-17 18:15:03	(◍˃ ᵕ ˂◍)	523		
485	2020-10-16 21:56:30	(*´`)♡	1321		
486	2020-10-16 21:26:04	(；_；)	6346		
487	2020-10-16 16:43:30	(*ˊᵕˋ*)♪	2612		
487	2020-10-16 16:43:30	( *´꒳`* )	2612		
488	2020-10-16 09:45:01	( * ॑˘ ॑*  ) ⁾⁾	2076		
491	2020-10-15 19:32:04	⸜(*ˊᵕˋ* )⸝	2494		
492	2020-10-14 23:12:29	(*´︶`*)❤︎	162		
493	2020-10-14 23:10:02	(๑˙―˙๑)	2494		
494	2020-10-14 22:43:03	(◍˃ ᵕ ˂◍)	2513		
495	2020-10-14 22:36:40	(*ˊᵕˋ*)♪	836		
496	2020-10-14 22:29:04	⸜(*ˊᵕˋ* )⸝	773		
497	2020-10-14 18:23:10	(´•ωก)°゜ﾟ	2412		
498	2020-10-14 18:14:42	( ⸝•ᴗ•⸝)♡	2366		
499	2020-10-14 17:52:51	(๑⃙⃘ˊ꒳​ˋ๑⃙)	3123		
499	2020-10-14 17:52:51	(*´―｀*)	3123		
500	2020-10-14 14:10:00	⸜(*ˊᵕˋ* )⸝	2505		
500	2020-10-14 14:10:00	❀(*´▽`*)❀	2505		
501	2020-10-14 09:04:09	(*ˊᵕˋ*)♪	2352		
502	2020-10-13 21:56:59	(っ﹏-) .｡	2636		
503	2020-10-13 21:51:08	( ´͈ ᵕ `͈ )	2147		
505	2020-10-12 22:16:37	(ᐡ⸝⸝-  ̫ -⸝⸝ᐡ)	5266		
506	2020-10-12 16:59:49	⸜(*ˊᗜˋ*)⸝	1641		
510	2020-10-11 17:45:48	( ´͈ ᵕ `͈ )	3296		
511	2020-10-11 17:40:59	( ´•̥  ̫ •̥` )	4114		
514	2020-10-11 16:58:06	(◍˃ ᵕ ˂◍)	4263		
515	2020-10-11 01:05:04	(ヾﾉ･∀･`)	3619		
518	2020-10-10 23:41:52	(*´ ˘ `*)♡	5657		
519	2020-10-10 23:37:47	(*´︶`*)❤︎	2596		
521	2020-10-10 23:37:05	(◍˃ ᵕ ˂◍)	3709		
523	2020-10-10 23:35:50	⸜(*ˊᵕˋ* )⸝	2197		
528	2020-10-10 22:27:10	(〃♥ω♥〃)	3035		
529	2020-10-09 21:33:00	(๑⃙⃘ˊ꒳​ˋ๑⃙)	3692		
530	2020-10-08 19:16:11	(((﹡•﹏•﹡)))	2753		
530	2020-10-08 19:16:11	( ´ω｀)	2753		
531	2020-10-08 09:12:45	| ू'-')	2435		
533	2020-10-07 00:07:25	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2391		
533	2020-10-07 00:07:25	(×﹏×)	2391		
536	2020-10-06 14:51:03	( * ॑˘ ॑*  ) ⁾⁾	883		
537	2020-10-06 14:46:59	(〃♥ω♥〃)	1945		
538	2020-10-05 20:57:40	(◍˃ ᵕ ˂◍)	16		
541	2020-10-04 21:10:36	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2270		
544	2020-10-04 10:10:18	⸜(*ˊᵕˋ* )⸝	1169		
546	2020-10-04 00:19:20	(*´︶`*)❤︎	3559		
547	2020-10-03 22:58:46	(  •̥ ˍ •̥  )	7976		
547	2020-10-03 22:58:46	( ⸝•ᴗ•⸝)♡	7976		
548	2020-10-03 22:36:54	(๑ ᵒ̴̶̷̥́ ^ ᵒ̴̶̷̣̥̀ ๑)	3225		
553	2020-10-03 22:09:16	❀(*´▽`*…	1527		
554	2020-10-03 19:02:57	|･ω･*)	995		
554	2020-10-03 19:02:57	(◍˃ ᵕ ˂◍)	995		
555	2020-10-03 17:34:57	( ⸝•ᴗ•⸝)♡	917		
556	2020-10-03 16:53:05	(*´︶`*)❤︎	1135		
557	2020-10-02 19:12:50	♡(´｡•ㅅ•｡`)	3428		
561	2020-10-02 18:55:19	⸜(*ˊᵕˋ* )⸝	2308		
561	2020-10-02 18:55:19	(*´︶`*)❤︎	2308		
562	2020-10-02 00:07:15	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	95		
563	2020-10-01 18:44:21	( * ॑˘ ॑*  ) 	268		
